,title,genre,title,year,api_game_title,genre
0,Viewtiful Joe,"Action,Adventure,Comedy",Viewtiful Joe,2005 - 2007,Viewtiful Joe (2003),Platformer
1,Virtua Fighter,Adventure,Virtua Fighter,1995 - 1996,Virtua Fighter,Fighting
2,Wonder Momo,Action,Wonder Momo,2014,Wonder Boy: The Dragon's Trap,Platformer
3,Popolocrois,"Action,Fantasy",Popolocrois,1998,PoPoLoCrois,RPG
4,Power Stone,"Action,Adventure",Power Stone,1999,Power Stone,Fighting
5,Samurai Warriors,Action,Samurai Warriors,2015,SAMURAI WARRIORS 4,Action
6,MapleStory,"Adventure,Fantasy,Action",MapleStory,2007 - 2008,MapleStory,Massively Multiplayer
7,Gungrave,"Action,Science Fiction",Gungrave,2003 - 2004,Gungrave,
8,Hero Bank,Action,Hero Bank,2014 - 2015,Hero Bank,RPG
9,Divine Gate,Fantasy,Divine Gate,2016,Divine Divinity,RPG
10,Yumeria,"Adventure,Comedy,Romance",Yumeria,2004,Yumeria,Action
11,Medabots,"Adventure,Comedy,Science Fiction",Medabots,1999 - 2001,Medabots,RPG
12,Galaxy Angel,"Action,Comedy,Romance,Science Fiction",Galaxy Angel,2001 - 2004,Galaxy Angel,Strategy
13,Gunparade March,"Action,Mecha,Drama,Romance,Science Fiction",Gunparade March,2003,March of War: FaceOff - XL,Indie
14,Hiiro no Kakera,"Adventure,Romance",Hiiro no Kakera,2012,Hiiro,Indie
15,Inazuma Eleven,"Adventure,Comedy,Sports,Supernatural",Inazuma Eleven,2008 - 2011,Inazuma Eleven,
16,Amnesia,"Fantasy,Mystery,Romance,Supernatural",Amnesia,2013,Amnesia,
17,Angelique,"Fantasy,Romance",Angelique,2004,Angelique,
18,Azur Lane,Action,Azur Lane,2019,Azur Lane,Card
19,Blue Dragon,"Action,Adventure,Comedy,Fantasy,Supernatural",Blue Dragon,2007 – 2008,Blue Dragon,RPG
20,Comic Party,"Comedy,Drama,Romance",Comic Party,2001,Comic Party,
21,Valkyria Chronicles,"Action,Fantasy,Romance",Valkyria Chronicles,2009 - 2011,Valkyria Chronicles,Strategy
22,Yosuga no Sora,"Comedy,Drama,Fantasy,Psychological,Romance,Slice of Life",Yosuga no Sora,2010,SOMA,Indie
23,Pokémon,"Action,Adventure,Comedy,Fantasy",Pokémon,1997,Pokémon Snap,Simulation
24,Sakura Wars,"Action,Romance,Supernatural,Mecha",Sakura Wars,2000,Sakura Wars,RPG
25,Kimi ga Nozomu Eien,"Drama,Romance",Kimi ga Nozomu Eien,2003 - 2004,Kimi ga Nozomu Eien,
26,Monster Strike,"Action,Fantasy",Monster Strike,2015,Monster Strike,Action
27,Photo Kano,Romance,Photo Kano,2013,Kane and Lynch: Dead Men,Shooter
28,Gakuen Heaven,"Romance,Yaoi",Gakuen Heaven,2006,Heaven's Vault,Indie
29,Girls Beyond the Wasteland,"Drama,Romance",Girls Beyond the Wasteland,2016,Wasteland,Indie
30,Green Green,"Comedy,Romance,Supernatural",Green Green,2002 - 2004,green.,Platformer
31,H2O: Footprints in the Sand,Romance,H2O: Footprints in the Sand,2008,Leisure Suit Larry 1 - In the Land of the Lounge Lizards,Adventure
32,Arc the Lad,"Action,Adventure,Fantasy,Horror,Science Fiction",Arc the Lad,1999,Arc the Lad,RPG
33,Chaos;Head,"Action,Drama,Horror,Mystery,Psychological,Romance,Science Fiction,Supernatural",Chaos;Head,2008,CHAOS (itch),Action
34,DRAMAtical Murder,"Action,Psychological,Science Fiction",DRAMAtical Murder,2014,DRAMAtical Murder,Casual
35,Devil May Cry,"Action,Horror",Devil May Cry,2007,Devil May Cry,Action
36,Dragon Quest,"Action,Adventure,Fantasy,Supernatural",Dragon Quest,1989 – 1991,Dragon Quest (1986),RPG
37,Princess Lover!,"Comedy,Drama,Romance",Princess Lover!,2009,Loren The Amazon Princess,Indie
38,Senran Kagura,"Action,Romance,Yuri",Senran Kagura,2013,SENRAN KAGURA Burst Re:Newal,Action
39,God Eater,"Action,Fantasy,Supernatural",God Eater,2015 - 2016,Gods Eater Burst,Action
40,Air,"Drama,Romance,Slice of Life,Supernatural",Air,2005,Air,
41,Da Capo,"Comedy,Fantasy,Romance",Da Capo,2003,Da Capo,Adventure
42,Ef: A Tale of Memories,"Drama,Mystery,Romance",Ef: A Tale of Memories,2007,ef - a fairy tale of the two.,Adventure
43,True Tears,"Drama,Romance",True Tears,2008,True Fear: Forsaken Souls,Casual
44,School Days,"Drama,Romance,Hentai",School Days,2007,School Days,Simulation
45,Shuffle!,"Comedy,Drama,Fantasy,Romance",Shuffle!,2005 - 2006,Shuffle!,Casual
46,Fortune Arterial,"Comedy,Fantasy,Romance,Supernatural",Fortune Arterial,2010,Fortuna's Fortune,
47,Gift,"Drama,Fantasy,Romance",Gift,2006,Gift,Platformer
48,Kanon,"Drama,Fantasy,Romance",Kanon,2002,Kanon,
49,Ace Attorney,Adventure,Ace Attorney,2016 - 2019,Ace Attorney INVESTIGATIONS: Miles Edgeworth,Adventure
50,Akaneiro ni Somaru Saka,"Drama,Romance",Akaneiro ni Somaru Saka,1989,Akaneiro: Demon Hunters,Indie
51,Akaneiro ni Somaru Saka,"Drama,Romance",Akaneiro ni Somaru Saka,2008,Akaneiro: Demon Hunters,Indie
52,Higurashi no Naku Koro ni,"Drama,Horror,Mystery,Psychological",Higurashi no Naku Koro ni,2006,Ni no Kuni II: Revenant Kingdom,RPG
