,title,api_game_title,wiki_game_title,genre,rating,year
0,11eyes[1][2],11 Eyes: Tsumi to Bachi to Aganai no Shoujo,11eyes: Tsumi to Batsu to Aganai no Shōjo,Adventure,0.0,2009
5,Ace Attorney,Ace Attorney INVESTIGATIONS: Miles Edgeworth,Ace Attorney,Adventure,4.1,2016 - 2019
10,Air,Air,Air,,0.0,2005
20,Akaneiro ni Somaru Saka,Akaneiro: Demon Hunters,Akaneiro ni Somaru Saka,Indie,2.29,2008
25,Akaneiro ni Somaru Saka,Akaneiro: Demon Hunters,Akaneiro ni Somaru Saka',Indie,2.29,1989
30,Aokana: Four Rhythm Across the Blue,Aokana - Four Rhythms Across the Blue / 苍之彼方的四重奏,Aokana: Four Rhythm Across the Blue,Casual,0.0,2016
35,Amagami SS,Amagami,Amagami,Casual,0.0,2010
45,Amnesia,Amnesia,Amnesia,,0.0,2013
50,Angel's Feather,Rising Angels: Reborn,Angel's Feather,Indie,0.0,2006
55,Angelique,Angelique,Angelique,,0.0,2004
75,Ancient Ruler Dinosaur King DKidz Adventure,Dinosaur King,Dinosaur King,,0.0,2007 - 2008
85,Another World: Kyo Chapter,CLANNAD,Clannad,Casual,4.42,2009
95,Ar tonelico,Ar Tonelico: Melody of Elemia,Ar tonelico: Melody of Elemia,RPG,0.0,2006
100,Arc the Lad,Arc the Lad,Arc the Lad,RPG,0.0,1999
105,Atelier Escha & Logy: Alchemists of the Dusk Sky,Atelier Escha & Logy: Alchemists of the Dusk Sky,Atelier Escha & Logy: Alchemists of the Dusk Sky,RPG,0.0,2014
110,Ayakashi,Ayakashi Root - Youmu,Ayakashi,Platformer,0.0,2007 - 2008
115,Azur Lane,Azur Lane,Azur Lane,Card,0.0,2019
120,BALDR FORCE EXE Resolution,Baldr Force,Baldr Force,Adventure,0.0,2006 - 2007
125,Battle Arena Toshinden,Battle Arena Toshinden,Battle Arena Toshinden,Fighting,3.5,1996
130,Battle Spirits: Ryuko no Ken,Ken Follett's The Pillars of the Earth,Ryuko no Ken,Puzzle,3.79,1993
135,Bayonetta: Bloody Fate,Bayonetta,Bayonetta,Action,4.29,2013
140,Blade & Soul,Blade (2000),Blade & Soul,Action,0.0,2014
145,BlazBlue Alter Memory,BlazBlue,BlazBlue,Fighting,3.8,2013
150,Blue Dragon,Blue Dragon,Blue Dragon,RPG,3.83,2007 – 2008
160,Bomberman Jetters,Bomberman (1983),Bomberman,Puzzle,4.19,2002 - 2003
165,Brotherhood: Final Fantasy XV,FINAL FANTASY XV,Final Fantasy XV,RPG,3.91,2016
170,Canaan,428: Shibuya Scramble,428: Shibuya Scramble,Adventure,4.56,2009
175,Canvas 2: Niji Iro no Sketch,1-2-Switch,Canvas 2: Niji Iro no Sketch,,3.16,2005 - 2006
180,Castlevania,Castlevania,Castlevania,Platformer,4.24,2017 - present
185,Chaos;Head,CHAOS (itch),Chaos;Head,Action,0.0,2008
190,Chōsoku Henkei Gyrozetter,Chikoku-! Chikoku-!,Chōsoku Henkei Gyrozetter,Action,0.0,2012 - 2013
210,Comic Party,Comic Party,Comic Party,,0.0,2001
225,Corpse Party: Missing Footage,Corpse Party,Corpse Party,Indie,3.8,2012
235,Da Capo,Da Capo,Da Capo,Adventure,0.0,2003
250,Danganronpa: The Animation,Danganronpa: Trigger Happy Havoc,Danganronpa: Trigger Happy Havoc,Adventure,4.26,2013
255,Danganronpa 3: The End of Hope's Peak High School,Danganronpa V3: Killing Harmony,Danganronpa,Puzzle,4.23,2016 - 2017
260,Devil May Cry,Devil May Cry,Devil May Cry,Action,4.08,2007
265,Devil Survivor 2: The Animation,Resident Evil 2,Devil Survivor 2,Adventure,4.38,2013
270,Dimensional Adventure Numa Monjar,Chrono Trigger,Chrono Trigger,RPG,4.21,1996
275,Divine Gate,Divine Divinity,Divine Gate,RPG,3.52,2016
280,Dobutsu no Mori,Animal Crossing,Animal Crossing,RPG,4.07,2006
285,Dragon Age: Dawn of the Seeker,Dragon Age: Origins,Dragon Age,RPG,4.36,2012
290,Dragon Knight,Dragon Knight,Dragon Knight,Indie,2.6,1991
300,Dragon Knight: The Wheel of Time,Dragon Knight 4,Dragon Knight 4,,0.0,1998
305,Dragon Quest,Dragon Quest (1986),Dragon Quest,RPG,4.0,1989 – 1991
315,DRAMAtical Murder,DRAMAtical Murder,DRAMAtical Murder,Casual,0.0,2014
320,Ef: A Tale of Memories,ef - a fairy tale of the two.,Ef: A Fairy Tale of the Two.,Adventure,0.0,2007
325,F-Zero GP Legend,F-Zero,F-Zero,Racing,3.82,2003 - 2004
330,Fatal Fury: Legend of the Hungry Wolf,Fatal Fury: King of Fighters,Fatal Fury: King of Fighters,Fighting,0.0,1992
335,Fatal Fury 2: The New Battle,Fatal Fury 2 (1992),Fatal Fury 2,Fighting,0.0,1993
340,Fatal Fury: The Motion Picture,FATAL FURY,Fatal Fury,,0.0,1994
345,Fate/stay night,Fate/Stay Night,Fate/stay night,Adventure,0.0,2006
375,Final Fantasy: Legend of the Crystals,FINAL FANTASY V,Final Fantasy V,RPG,4.05,1994
380,Final Fantasy: Unlimited,Final Fantasy (1987),Final Fantasy,RPG,3.95,2001 - 2002
385,Last Order -Final Fantasy VII-,Final Fantasy VII,Final Fantasy VII,RPG,4.34,2005
395,Fire Emblem: Mystery of the Emblem,Fire Emblem: The Blazing Blade,Fire Emblem,Strategy,4.38,1996
400,Fortune Arterial,Fortuna's Fortune,Fortune Arterial,,0.0,2010
405,Gakuen Heaven,Heaven's Vault,Gakuen Heaven,Indie,3.5,2006
410,Galaxy Angel,Galaxy Angel,Galaxy Angel,Strategy,0.0,2001 - 2004
415,Ganbare Goemon,Goemon's Great Adventure,Goemon,,0.0,1997 - 1998
420,Gift,Gift,Gift,Platformer,0.0,2006
425,Girl Friend Beta,Girl Friend Beta: Summer Vacation Spent With You,Girl Friend Beta,Adventure,0.0,2014
430,Girls Beyond the Wasteland,Wasteland,Girls Beyond the Wasteland,Indie,2.81,2016
435,God Eater,Gods Eater Burst,Gods Eater Burst,Action,0.0,2015 - 2016
440,Granblue Fantasy The Animation,Granblue Fantasy,Granblue Fantasy,RPG,0.0,2017
450,Green Green,green.,Green Green,Platformer,0.0,2002 - 2004
455,Growlanser IV: Wayfarer of Time,Comanche 4,Growlanser IV,Simulation,0.0,2005
460,Gungrave,Gungrave,Gungrave,,4.0,2003 - 2004
465,Gunparade March,March of War: FaceOff - XL,Gunparade March,Indie,0.0,2003
475,Gunslinger Stratos The Animation,Gunslinger Stratos Reloaded,Gunslinger Stratos,Shooter,0.0,2015
480,H2O: Footprints in the Sand,Leisure Suit Larry 1 - In the Land of the Lounge Lizards,H2O: Footprints in the Sand,Adventure,3.62,2008
485,.hack//Legend of the Twilight,.hack//G.U. Last Recode,.hack,RPG,3.79,2003
515,Hakuouki: Shinsengumi Kitan,Hakuoki: Stories of the Shinsengumi,Hakuouki: Shinsengumi Kitan,Casual,0.0,2010
520,Harukanaru Toki no Naka De,Harukanaru Toki no Naka de,Harukanaru Toki no Naka De,Action,0.0,2004 - 2005
525,Halo Legends,Halo: Reach,Halo,Shooter,4.27,2010
530,Happiness!,Happiness: Prelude,Happiness!,Adventure,0.0,2006
535,Hero Bank,Hero Bank,Hero Bank,RPG,0.0,2014 - 2015
540,Higurashi no Naku Koro ni,Ni no Kuni II: Revenant Kingdom,Higurashi no Naku Koro ni,RPG,3.9,2006
545,Hiiro no Kakera,Hiiro,Hiiro no Kakera,Indie,0.0,2012
550,Hyperdimension Neptunia: The Animation,Hyperdimension Neptunia,Hyperdimension Neptunia,RPG,0.0,2013
555,Inazuma Eleven,Inazuma Eleven,Inazuma Eleven,,4.15,2008 - 2011
560,Inazuma Eleven GO,Inazuma Eleven Go: Light,Inazuma Eleven GO,Action,0.0,2011 - 2014
565,Ingress: The Animation,Ingress,Ingress,Strategy,4.11,2018
570,Kanon,Kanon,Kanon,,0.0,2002
585,Kantai Collection,Kantai Collection,Kantai Collection,Simulation,0.0,2015
590,Kid Icarus Uprising,Kid Icarus (1986),Kid Icarus,Action,3.71,2011 - 2012
595,Kimi ga Nozomu Eien,Kimi ga Nozomu Eien,Kimi ga Nozomu Eien,,0.0,2003 - 2004
605,The King of Fighters: Another Day,THE KING OF FIGHTERS 2002,The King of Fighters: Maximum Impact,Fighting,2.65,2005 - 2006
610,The King of Fighters: Destiny,The King of Fighters,The King of Fighters,Fighting,0.0,2017 - present
615,Kirby: Right Back at Ya!,Kirby's Adventure (1993),Kirby,Platformer,4.03,2001 - 2003
620,Kishin Houkou Demonbane,Demonball,Demonbane,Platformer,0.0,2004
640,Le Fruit de la Grisaia,Grisaia no Rakuen: Le Eden de la Grisaia,Le Fruit de la Grisaia,Adventure,0.0,2014
645,Little Battlers Experience,Little Battlers eXperience,Little Battlers Experience,,0.0,2011-2012
650,Little Busters!,Minion Masters,Little Busters!,Indie,2.44,2012
655,Lime-iro Ryūkitan X,No Time To Live,Lime-iro Senkitan,Indie,0.0,2005
665,Makai Senki Disgaea,Disgaea: Hour of Darkness,Disgaea: Hour of Darkness,RPG,0.0,2006
670,MapleStory,MapleStory,MapleStory,Massively Multiplayer,3.79,2007 - 2008
675,Medabots,Medabots,Medabots,RPG,0.0,1999 - 2001
680,MegaMan NT Warrior,Mega Man Battle Network (2001),Mega Man Battle Network,,0.0,2002 - 2006
685,Mega Man Star Force,Mega Man Star Force: Dragon,Mega Man Star Force,,0.0,2006 - 2008
690,Mega Man: Upon a Star,Mega Man (1987),Mega Man,Action,4.08,1993
695,Monster Hunter Stories: Ride On,Monster Hunter Stories,Monster Hunter Stories,RPG,4.25,2016
700,Monster Rancher,Monster Rancher 2,Monster Rancher,RPG,0.0,1999 - 2001
705,Monster Strike,Monster Strike,Monster Strike,Action,0.0,2015
710,Mushiking: The King of Beetles,Peter Jackson's King Kong,Mushiking: The King of Beetles,Adventure,4.0,2005 - 2006
715,Nakoruru: Ano Hito kara no Okurimono,ADV-MAN,Nakoruru ADV,Adventure,0.0,2002
730,Night Warriors: Darkstalkers' Revenge,DARKSTALKERS,Darkstalkers,Fighting,0.0,1997 - 1998
735,Night Wizard The Animation,A Wizard's Lizard,Night Wizard!,Indie,2.75,2007
740,Ninja Gaiden,Ninja Gaiden (1988),Ninja Gaiden,Platformer,4.07,1991
745,PaRappa the Rapper,PaRappa the Rapper (1996),PaRappa the Rapper,,4.0,2001 - 2002
750,Persona 3 The Movie: #1 Spring of Birth,Persona 3: Dancing in Moonlight,Persona 3,Casual,4.05,2013
770,Persona 4: The Animation,Shin Megami Tensei: Persona 4,Persona 4,RPG,4.36,2011 - 2012
780,Persona 4: The Golden Animation,Persona 4 Golden,Persona 4 Golden,RPG,4.27,2014
